,Team,White,Asian / Pacific Islander,Black or African American,Hispanic or Latino,Native American or American Indian,Other,Total,White/Total,Asian / Pacific Islander/Total,Black or African American/Total,Hispanic or Latino/Total,Native American or American Indian/Total,Other/Total
0,Toronto Raptors,248,149,28,5,6,63,499,0.496993987976,0.298597194389,0.0561122244489,0.0100200400802,0.0120240480962,0.12625250501
1,Sacramento Kings,59,20,1,7,0,5,92,0.641304347826,0.217391304348,0.0108695652174,0.0760869565217,0.0,0.054347826087
2,Minnesota Timberwolves,196,25,6,6,1,21,255,0.76862745098,0.0980392156863,0.0235294117647,0.0235294117647,0.00392156862745,0.0823529411765
3,San Antonio Spurs,203,67,16,74,0,41,401,0.506234413965,0.167082294264,0.0399002493766,0.184538653367,0.0,0.102244389027
4,Portland Trail Blazers,143,23,6,7,4,21,204,0.700980392157,0.112745098039,0.0294117647059,0.0343137254902,0.0196078431373,0.102941176471
5,Los Angeles Lakers,206,141,21,59,2,64,493,0.41784989858,0.286004056795,0.0425963488844,0.119675456389,0.00405679513185,0.129817444219
6,Houston Rockets,184,67,21,37,0,29,338,0.544378698225,0.198224852071,0.0621301775148,0.109467455621,0.0,0.085798816568
7,Cleveland Cavaliers,276,63,17,19,2,28,405,0.681481481481,0.155555555556,0.041975308642,0.0469135802469,0.00493827160494,0.0691358024691
8,Golden State Warriors,352,221,26,38,1,45,683,0.515373352855,0.323572474378,0.0380673499268,0.0556368960469,0.00146412884334,0.0658857979502
9,New York Knicks,184,52,22,27,0,33,318,0.578616352201,0.163522012579,0.0691823899371,0.0849056603774,0.0,0.103773584906
10,Oklahoma City Thunder,393,73,29,23,9,47,574,0.684668989547,0.127177700348,0.0505226480836,0.0400696864111,0.0156794425087,0.081881533101
11,LA Clippers,62,19,6,15,0,16,118,0.525423728814,0.161016949153,0.0508474576271,0.127118644068,0.0,0.135593220339
12,Boston Celtics,426,58,21,23,1,49,578,0.737024221453,0.100346020761,0.0363321799308,0.0397923875433,0.00173010380623,0.0847750865052
13,Denver Nuggets,60,2,3,3,0,5,73,0.821917808219,0.027397260274,0.041095890411,0.041095890411,0.0,0.0684931506849
14,Chicago Bulls,195,37,21,20,0,28,301,0.647840531561,0.12292358804,0.0697674418605,0.0664451827243,0.0,0.093023255814
15,Detroit Pistons,63,12,4,6,1,16,102,0.617647058824,0.117647058824,0.0392156862745,0.0588235294118,0.00980392156863,0.156862745098
16,Phoenix Suns,78,10,2,11,1,6,108,0.722222222222,0.0925925925926,0.0185185185185,0.101851851852,0.00925925925926,0.0555555555556
17,Philadelphia 76ers,202,29,6,5,0,19,261,0.773946360153,0.111111111111,0.0229885057471,0.0191570881226,0.0,0.0727969348659
18,Milwaukee Bucks,194,13,6,7,0,12,232,0.836206896552,0.0560344827586,0.0258620689655,0.0301724137931,0.0,0.051724137931
19,Washington Wizards,110,16,18,6,0,13,163,0.674846625767,0.0981595092025,0.110429447853,0.0368098159509,0.0,0.079754601227
20,Brooklyn Nets,35,24,6,4,0,7,76,0.460526315789,0.315789473684,0.0789473684211,0.0526315789474,0.0,0.0921052631579
21,Miami Heat,104,28,10,50,1,19,212,0.490566037736,0.132075471698,0.0471698113208,0.235849056604,0.00471698113208,0.0896226415094
22,Atlanta Hawks,63,10,5,3,0,6,87,0.724137931034,0.114942528736,0.0574712643678,0.0344827586207,0.0,0.0689655172414
23,Indiana Pacers,82,17,4,3,0,5,111,0.738738738739,0.153153153153,0.036036036036,0.027027027027,0.0,0.045045045045
24,New Orleans Pelicans,38,3,6,2,0,2,51,0.745098039216,0.0588235294118,0.117647058824,0.0392156862745,0.0,0.0392156862745
25,Utah Jazz,178,16,4,5,2,9,214,0.831775700935,0.0747663551402,0.018691588785,0.0233644859813,0.00934579439252,0.0420560747664
26,Charlotte Hornets,36,2,2,5,0,2,47,0.765957446809,0.0425531914894,0.0425531914894,0.106382978723,0.0,0.0425531914894
27,Orlando Magic,40,2,4,6,0,1,53,0.754716981132,0.0377358490566,0.0754716981132,0.11320754717,0.0,0.0188679245283
28,Memphis Grizzlies,37,3,5,2,0,5,52,0.711538461538,0.0576923076923,0.0961538461538,0.0384615384615,0.0,0.0961538461538
29,Dallas Mavericks,90,26,6,12,1,7,142,0.633802816901,0.183098591549,0.0422535211268,0.0845070422535,0.00704225352113,0.0492957746479
30,Seattle Super Sonics,56,13,4,1,3,8,85,0.658823529412,0.152941176471,0.0470588235294,0.0117647058824,0.0352941176471,0.0941176470588
31,Other,97,26,3,6,0,66,198,0.489898989899,0.131313131313,0.0151515151515,0.030303030303,0.0,0.333333333333
