,team,age,id,normalized_age
0,Atlanta Hawks,13 years or younger,1,0.0114942528736
1,Atlanta Hawks,14 to 17 years old,15,0.172413793103
2,Atlanta Hawks,18 to 21 years old,27,0.310344827586
3,Atlanta Hawks,22 to 25 years old,26,0.298850574713
4,Atlanta Hawks,26 to 29 years old,11,0.126436781609
5,Atlanta Hawks,30 to 32 years old,2,0.0229885057471
6,Atlanta Hawks,33 to 36 years old,2,0.0229885057471
7,Atlanta Hawks,37 to 40 years old,0,0.0
8,Atlanta Hawks,41 to 44 years old,0,0.0
9,Atlanta Hawks,45 to 48 years old,1,0.0114942528736
10,Atlanta Hawks,49 to 52 years old,0,0.0
11,Atlanta Hawks,53 to 56 years old,0,0.0
12,Atlanta Hawks,57 to 59 years old,0,0.0
13,Atlanta Hawks,60 years or older,0,0.0
14,Atlanta Hawks,Other,2,0.0229885057471
15,Boston Celtics,13 years or younger,0,0.0
16,Boston Celtics,14 to 17 years old,50,0.0865051903114
17,Boston Celtics,18 to 21 years old,234,0.404844290657
18,Boston Celtics,22 to 25 years old,170,0.294117647059
19,Boston Celtics,26 to 29 years old,80,0.138408304498
20,Boston Celtics,30 to 32 years old,19,0.0328719723183
21,Boston Celtics,33 to 36 years old,9,0.0155709342561
22,Boston Celtics,37 to 40 years old,2,0.00346020761246
23,Boston Celtics,41 to 44 years old,1,0.00173010380623
24,Boston Celtics,45 to 48 years old,0,0.0
25,Boston Celtics,49 to 52 years old,0,0.0
26,Boston Celtics,53 to 56 years old,0,0.0
27,Boston Celtics,57 to 59 years old,0,0.0
28,Boston Celtics,60 years or older,0,0.0
29,Boston Celtics,Other,13,0.022491349481
30,Brooklyn Nets,13 years or younger,0,0.0
31,Brooklyn Nets,14 to 17 years old,8,0.105263157895
32,Brooklyn Nets,18 to 21 years old,30,0.394736842105
33,Brooklyn Nets,22 to 25 years old,26,0.342105263158
34,Brooklyn Nets,26 to 29 years old,7,0.0921052631579
35,Brooklyn Nets,30 to 32 years old,2,0.0263157894737
36,Brooklyn Nets,33 to 36 years old,0,0.0
37,Brooklyn Nets,37 to 40 years old,0,0.0
38,Brooklyn Nets,41 to 44 years old,0,0.0
39,Brooklyn Nets,45 to 48 years old,0,0.0
40,Brooklyn Nets,49 to 52 years old,0,0.0
41,Brooklyn Nets,53 to 56 years old,0,0.0
42,Brooklyn Nets,57 to 59 years old,0,0.0
43,Brooklyn Nets,60 years or older,0,0.0
44,Brooklyn Nets,Other,3,0.0394736842105
45,Charlotte Hornets,13 years or younger,0,0.0
46,Charlotte Hornets,14 to 17 years old,9,0.191489361702
47,Charlotte Hornets,18 to 21 years old,12,0.255319148936
48,Charlotte Hornets,22 to 25 years old,13,0.276595744681
49,Charlotte Hornets,26 to 29 years old,8,0.170212765957
50,Charlotte Hornets,30 to 32 years old,2,0.0425531914894
51,Charlotte Hornets,33 to 36 years old,2,0.0425531914894
52,Charlotte Hornets,37 to 40 years old,0,0.0
53,Charlotte Hornets,41 to 44 years old,0,0.0
54,Charlotte Hornets,45 to 48 years old,0,0.0
55,Charlotte Hornets,49 to 52 years old,0,0.0
56,Charlotte Hornets,53 to 56 years old,0,0.0
57,Charlotte Hornets,57 to 59 years old,0,0.0
58,Charlotte Hornets,60 years or older,0,0.0
59,Charlotte Hornets,Other,1,0.0212765957447
60,Chicago Bulls,13 years or younger,0,0.0
61,Chicago Bulls,14 to 17 years old,32,0.106312292359
62,Chicago Bulls,18 to 21 years old,107,0.355481727575
63,Chicago Bulls,22 to 25 years old,95,0.31561461794
64,Chicago Bulls,26 to 29 years old,42,0.139534883721
65,Chicago Bulls,30 to 32 years old,11,0.0365448504983
66,Chicago Bulls,33 to 36 years old,8,0.0265780730897
67,Chicago Bulls,37 to 40 years old,1,0.00332225913621
68,Chicago Bulls,41 to 44 years old,3,0.00996677740864
69,Chicago Bulls,45 to 48 years old,1,0.00332225913621
70,Chicago Bulls,49 to 52 years old,0,0.0
71,Chicago Bulls,53 to 56 years old,0,0.0
72,Chicago Bulls,57 to 59 years old,0,0.0
73,Chicago Bulls,60 years or older,0,0.0
74,Chicago Bulls,Other,1,0.00332225913621
75,Cleveland Cavaliers,13 years or younger,1,0.00246913580247
76,Cleveland Cavaliers,14 to 17 years old,36,0.0888888888889
77,Cleveland Cavaliers,18 to 21 years old,154,0.38024691358
78,Cleveland Cavaliers,22 to 25 years old,128,0.316049382716
79,Cleveland Cavaliers,26 to 29 years old,56,0.138271604938
80,Cleveland Cavaliers,30 to 32 years old,18,0.0444444444444
81,Cleveland Cavaliers,33 to 36 years old,9,0.0222222222222
82,Cleveland Cavaliers,37 to 40 years old,0,0.0
83,Cleveland Cavaliers,41 to 44 years old,2,0.00493827160494
84,Cleveland Cavaliers,45 to 48 years old,0,0.0
85,Cleveland Cavaliers,49 to 52 years old,0,0.0
86,Cleveland Cavaliers,53 to 56 years old,0,0.0
87,Cleveland Cavaliers,57 to 59 years old,0,0.0
88,Cleveland Cavaliers,60 years or older,0,0.0
89,Cleveland Cavaliers,Other,1,0.00246913580247
90,Dallas Mavericks,13 years or younger,0,0.0
91,Dallas Mavericks,14 to 17 years old,10,0.0704225352113
92,Dallas Mavericks,18 to 21 years old,49,0.345070422535
93,Dallas Mavericks,22 to 25 years old,53,0.37323943662
