,team,state,count
0,Atlanta Hawks,Alabama,5
1,Atlanta Hawks,Alaska,0
2,Atlanta Hawks,Arizona,1
3,Atlanta Hawks,Arkansas,0
4,Atlanta Hawks,California,4
5,Atlanta Hawks,Colorado,0
6,Atlanta Hawks,Connecticut,0
7,Atlanta Hawks,Delaware,0
8,Atlanta Hawks,Florida,1
9,Atlanta Hawks,Georgia,48
10,Atlanta Hawks,Hawaii,0
11,Atlanta Hawks,Idaho,0
12,Atlanta Hawks,Illinois,0
13,Atlanta Hawks,Indiana,0
14,Atlanta Hawks,Iowa,0
15,Atlanta Hawks,Kansas,0
16,Atlanta Hawks,Kentucky,0
17,Atlanta Hawks,Louisiana,0
18,Atlanta Hawks,Maine,0
19,Atlanta Hawks,Maryland,0
20,Atlanta Hawks,Massachusetts,2
21,Atlanta Hawks,Michigan,0
22,Atlanta Hawks,Minnesota,0
23,Atlanta Hawks,Mississippi,0
24,Atlanta Hawks,Missouri,0
25,Atlanta Hawks,Montana,0
26,Atlanta Hawks,Nebraska,0
27,Atlanta Hawks,Nevada,0
28,Atlanta Hawks,New Hampshire,0
29,Atlanta Hawks,New Jersey,0
30,Atlanta Hawks,New Mexico,0
31,Atlanta Hawks,New York,1
32,Atlanta Hawks,North Carolina,3
33,Atlanta Hawks,North Dakota,0
34,Atlanta Hawks,Ohio,1
35,Atlanta Hawks,Oklahoma,0
36,Atlanta Hawks,Oregon,1
37,Atlanta Hawks,Other,12
38,Atlanta Hawks,Pennsylvania,1
39,Atlanta Hawks,Rhode Island,0
40,Atlanta Hawks,South Carolina,1
41,Atlanta Hawks,South Dakota,0
42,Atlanta Hawks,Tennessee,2
43,Atlanta Hawks,Texas,1
44,Atlanta Hawks,Utah,0
45,Atlanta Hawks,Vermont,0
46,Atlanta Hawks,Virginia,0
47,Atlanta Hawks,Washington,2
48,Atlanta Hawks,Washington D.C.,0
49,Atlanta Hawks,West Virginia,1
50,Atlanta Hawks,Wisconsin,0
51,Atlanta Hawks,Wyoming,0
52,Boston Celtics,Alabama,1
53,Boston Celtics,Alaska,1
54,Boston Celtics,Arizona,1
55,Boston Celtics,Arkansas,0
56,Boston Celtics,California,21
57,Boston Celtics,Colorado,4
58,Boston Celtics,Connecticut,16
59,Boston Celtics,Delaware,1
60,Boston Celtics,Florida,8
61,Boston Celtics,Georgia,6
62,Boston Celtics,Hawaii,0
63,Boston Celtics,Idaho,2
64,Boston Celtics,Illinois,7
65,Boston Celtics,Indiana,3
66,Boston Celtics,Iowa,3
67,Boston Celtics,Kansas,2
68,Boston Celtics,Kentucky,8
69,Boston Celtics,Louisiana,0
70,Boston Celtics,Maine,15
71,Boston Celtics,Maryland,5
72,Boston Celtics,Massachusetts,182
73,Boston Celtics,Michigan,3
74,Boston Celtics,Minnesota,0
75,Boston Celtics,Mississippi,0
76,Boston Celtics,Missouri,1
77,Boston Celtics,Montana,0
78,Boston Celtics,Nebraska,4
79,Boston Celtics,Nevada,2
80,Boston Celtics,New Hampshire,10
81,Boston Celtics,New Jersey,13
82,Boston Celtics,New Mexico,0
83,Boston Celtics,New York,14
84,Boston Celtics,North Carolina,2
85,Boston Celtics,North Dakota,0
86,Boston Celtics,Ohio,2
87,Boston Celtics,Oklahoma,0
88,Boston Celtics,Oregon,1
89,Boston Celtics,Other,189
90,Boston Celtics,Pennsylvania,9
91,Boston Celtics,Rhode Island,8
92,Boston Celtics,South Carolina,2
93,Boston Celtics,South Dakota,0
94,Boston Celtics,Tennessee,2
95,Boston Celtics,Texas,9
96,Boston Celtics,Utah,2
97,Boston Celtics,Vermont,4
98,Boston Celtics,Virginia,7
99,Boston Celtics,Washington,4
100,Boston Celtics,Washington D.C.,0
101,Boston Celtics,West Virginia,1
102,Boston Celtics,Wisconsin,3
103,Boston Celtics,Wyoming,0
104,Brooklyn Nets,Alabama,0
105,Brooklyn Nets,Alaska,1
106,Brooklyn Nets,Arizona,0
107,Brooklyn Nets,Arkansas,0
108,Brooklyn Nets,California,3
109,Brooklyn Nets,Colorado,0
110,Brooklyn Nets,Connecticut,2
111,Brooklyn Nets,Delaware,0
112,Brooklyn Nets,Florida,0
113,Brooklyn Nets,Georgia,1
114,Brooklyn Nets,Hawaii,0
115,Brooklyn Nets,Idaho,0
116,Brooklyn Nets,Illinois,1
117,Brooklyn Nets,Indiana,0
118,Brooklyn Nets,Iowa,0
119,Brooklyn Nets,Kansas,1
120,Brooklyn Nets,Kentucky,0
121,Brooklyn Nets,Louisiana,0
122,Brooklyn Nets,Maine,0
123,Brooklyn Nets,Maryland,0
124,Brooklyn Nets,Massachusetts,3
125,Brooklyn Nets,Michigan,0
126,Brooklyn Nets,Minnesota,0
127,Brooklyn Nets,Mississippi,0
128,Brooklyn Nets,Missouri,0
129,Brooklyn Nets,Montana,0
130,Brooklyn Nets,Nebraska,1
131,Brooklyn Nets,Nevada,0
132,Brooklyn Nets,New Hampshire,0
133,Brooklyn Nets,New Jersey,20
134,Brooklyn Nets,New Mexico,0
135,Brooklyn Nets,New York,16
136,Brooklyn Nets,North Carolina,0
137,Brooklyn Nets,North Dakota,0
138,Brooklyn Nets,Ohio,0
139,Brooklyn Nets,Oklahoma,0
140,Brooklyn Nets,Oregon,0
141,Brooklyn Nets,Other,15
142,Brooklyn Nets,Pennsylvania,2
143,Brooklyn Nets,Rhode Island,0
144,Brooklyn Nets,South Carolina,0
145,Brooklyn Nets,South Dakota,1
146,Brooklyn Nets,Tennessee,3
147,Brooklyn Nets,Texas,4
148,Brooklyn Nets,Utah,0
149,Brooklyn Nets,Vermont,0
150,Brooklyn Nets,Virginia,1
151,Brooklyn Nets,Washington,0
152,Brooklyn Nets,Washington D.C.,0
153,Brooklyn Nets,West Virginia,0
154,Brooklyn Nets,Wisconsin,1
155,Brooklyn Nets,Wyoming,0
156,Charlotte Hornets,Alabama,1
157,Charlotte Hornets,Alaska,0
158,Charlotte Hornets,Arizona,0
159,Charlotte Hornets,Arkansas,0
160,Charlotte Hornets,California,0
161,Charlotte Hornets,Colorado,1
162,Charlotte Hornets,Connecticut,0
163,Charlotte Hornets,Delaware,0
164,Charlotte Hornets,Florida,0
165,Charlotte Hornets,Georgia,0
166,Charlotte Hornets,Hawaii,0
167,Charlotte Hornets,Idaho,0
168,Charlotte Hornets,Illinois,1
169,Charlotte Hornets,Indiana,0
170,Charlotte Hornets,Iowa,0
171,Charlotte Hornets,Kansas,0
172,Charlotte Hornets,Kentucky,0
173,Charlotte Hornets,Louisiana,0
174,Charlotte Hornets,Maine,1
175,Charlotte Hornets,Maryland,0
176,Charlotte Hornets,Massachusetts,0
177,Charlotte Hornets,Michigan,0
178,Charlotte Hornets,Minnesota,0
179,Charlotte Hornets,Mississippi,0
180,Charlotte Hornets,Missouri,0
181,Charlotte Hornets,Montana,0
182,Charlotte Hornets,Nebraska,0
183,Charlotte Hornets,Nevada,0
184,Charlotte Hornets,New Hampshire,0
185,Charlotte Hornets,New Jersey,2
186,Charlotte Hornets,New Mexico,0
187,Charlotte Hornets,New York,2
188,Charlotte Hornets,North Carolina,24
189,Charlotte Hornets,North Dakota,0
190,Charlotte Hornets,Ohio,0
191,Charlotte Hornets,Oklahoma,0
192,Charlotte Hornets,Oregon,0
193,Charlotte Hornets,Other,8
194,Charlotte Hornets,Pennsylvania,0
195,Charlotte Hornets,Rhode Island,0
196,Charlotte Hornets,South Carolina,2
197,Charlotte Hornets,South Dakota,0
198,Charlotte Hornets,Tennessee,0
199,Charlotte Hornets,Texas,2
200,Charlotte Hornets,Utah,0
201,Charlotte Hornets,Vermont,0
202,Charlotte Hornets,Virginia,2
203,Charlotte Hornets,Washington,0
204,Charlotte Hornets,Washington D.C.,0
205,Charlotte Hornets,West Virginia,1
206,Charlotte Hornets,Wisconsin,0
207,Charlotte Hornets,Wyoming,0
208,Chicago Bulls,Alabama,1
209,Chicago Bulls,Alaska,0
210,Chicago Bulls,Arizona,0
211,Chicago Bulls,Arkansas,0
212,Chicago Bulls,California,11
213,Chicago Bulls,Colorado,4
214,Chicago Bulls,Connecticut,2
215,Chicago Bulls,Delaware,0
216,Chicago Bulls,Florida,4
217,Chicago Bulls,Georgia,3
218,Chicago Bulls,Hawaii,1
219,Chicago Bulls,Idaho,0
220,Chicago Bulls,Illinois,137
221,Chicago Bulls,Indiana,7
222,Chicago Bulls,Iowa,4
223,Chicago Bulls,Kansas,2
224,Chicago Bulls,Kentucky,4
225,Chicago Bulls,Louisiana,0
226,Chicago Bulls,Maine,0
227,Chicago Bulls,Maryland,1
228,Chicago Bulls,Massachusetts,1
229,Chicago Bulls,Michigan,3
230,Chicago Bulls,Minnesota,0
231,Chicago Bulls,Mississippi,0
232,Chicago Bulls,Missouri,3
233,Chicago Bulls,Montana,2
234,Chicago Bulls,Nebraska,3
235,Chicago Bulls,Nevada,1
236,Chicago Bulls,New Hampshire,0
237,Chicago Bulls,New Jersey,3
238,Chicago Bulls,New Mexico,1
239,Chicago Bulls,New York,8
240,Chicago Bulls,North Carolina,3
241,Chicago Bulls,North Dakota,0
242,Chicago Bulls,Ohio,2
243,Chicago Bulls,Oklahoma,1
244,Chicago Bulls,Oregon,1
245,Chicago Bulls,Other,66
246,Chicago Bulls,Pennsylvania,3
247,Chicago Bulls,Rhode Island,0
248,Chicago Bulls,South Carolina,1
249,Chicago Bulls,South Dakota,0
250,Chicago Bulls,Tennessee,1
251,Chicago Bulls,Texas,3
252,Chicago Bulls,Utah,4
253,Chicago Bulls,Vermont,0
254,Chicago Bulls,Virginia,2
255,Chicago Bulls,Washington,4
256,Chicago Bulls,Washington D.C.,0
257,Chicago Bulls,West Virginia,2
258,Chicago Bulls,Wisconsin,2
259,Chicago Bulls,Wyoming,0
260,Cleveland Cavaliers,Alabama,1
261,Cleveland Cavaliers,Alaska,0
262,Cleveland Cavaliers,Arizona,4
263,Cleveland Cavaliers,Arkansas,1
264,Cleveland Cavaliers,California,25
265,Cleveland Cavaliers,Colorado,3
266,Cleveland Cavaliers,Connecticut,0
267,Cleveland Cavaliers,Delaware,0
268,Cleveland Cavaliers,Florida,10
269,Cleveland Cavaliers,Georgia,6
270,Cleveland Cavaliers,Hawaii,1
271,Cleveland Cavaliers,Idaho,1
272,Cleveland Cavaliers,Illinois,9
273,Cleveland Cavaliers,Indiana,10
274,Cleveland Cavaliers,Iowa,3
275,Cleveland Cavaliers,Kansas,3
276,Cleveland Cavaliers,Kentucky,6
277,Cleveland Cavaliers,Louisiana,1
278,Cleveland Cavaliers,Maine,1
279,Cleveland Cavaliers,Maryland,4
280,Cleveland Cavaliers,Massachusetts,2
281,Cleveland Cavaliers,Michigan,4
282,Cleveland Cavaliers,Minnesota,5
283,Cleveland Cavaliers,Mississippi,0
284,Cleveland Cavaliers,Missouri,8
285,Cleveland Cavaliers,Montana,0
286,Cleveland Cavaliers,Nebraska,0
287,Cleveland Cavaliers,Nevada,1
288,Cleveland Cavaliers,New Hampshire,0
289,Cleveland Cavaliers,New Jersey,4
290,Cleveland Cavaliers,New Mexico,0
291,Cleveland Cavaliers,New York,12
292,Cleveland Cavaliers,North Carolina,7
293,Cleveland Cavaliers,North Dakota,0
294,Cleveland Cavaliers,Ohio,92
295,Cleveland Cavaliers,Oklahoma,1
296,Cleveland Cavaliers,Oregon,3
297,Cleveland Cavaliers,Other,147
298,Cleveland Cavaliers,Pennsylvania,8
299,Cleveland Cavaliers,Rhode Island,0
300,Cleveland Cavaliers,South Carolina,2
301,Cleveland Cavaliers,South Dakota,0
302,Cleveland Cavaliers,Tennessee,4
303,Cleveland Cavaliers,Texas,8
304,Cleveland Cavaliers,Utah,0
305,Cleveland Cavaliers,Vermont,0
306,Cleveland Cavaliers,Virginia,3
307,Cleveland Cavaliers,Washington,3
308,Cleveland Cavaliers,Washington D.C.,0
309,Cleveland Cavaliers,West Virginia,0
310,Cleveland Cavaliers,Wisconsin,1
311,Cleveland Cavaliers,Wyoming,1
312,Dallas Mavericks,Alabama,1
313,Dallas Mavericks,Alaska,2
314,Dallas Mavericks,Arizona,0
315,Dallas Mavericks,Arkansas,1
316,Dallas Mavericks,California,6
317,Dallas Mavericks,Colorado,1
318,Dallas Mavericks,Connecticut,0
319,Dallas Mavericks,Delaware,0
320,Dallas Mavericks,Florida,0
321,Dallas Mavericks,Georgia,0
322,Dallas Mavericks,Hawaii,0
323,Dallas Mavericks,Idaho,1
324,Dallas Mavericks,Illinois,0
325,Dallas Mavericks,Indiana,0
326,Dallas Mavericks,Iowa,1
327,Dallas Mavericks,Kansas,0
328,Dallas Mavericks,Kentucky,0
329,Dallas Mavericks,Louisiana,1
330,Dallas Mavericks,Maine,0
331,Dallas Mavericks,Maryland,0
332,Dallas Mavericks,Massachusetts,0
333,Dallas Mavericks,Michigan,1
334,Dallas Mavericks,Minnesota,0
335,Dallas Mavericks,Mississippi,0
336,Dallas Mavericks,Missouri,0
337,Dallas Mavericks,Montana,0
338,Dallas Mavericks,Nebraska,0
339,Dallas Mavericks,Nevada,0
340,Dallas Mavericks,New Hampshire,0
341,Dallas Mavericks,New Jersey,3
342,Dallas Mavericks,New Mexico,0
343,Dallas Mavericks,New York,6
344,Dallas Mavericks,North Carolina,1
345,Dallas Mavericks,North Dakota,1
346,Dallas Mavericks,Ohio,0
347,Dallas Mavericks,Oklahoma,0
348,Dallas Mavericks,Oregon,0
349,Dallas Mavericks,Other,54
350,Dallas Mavericks,Pennsylvania,0
351,Dallas Mavericks,Rhode Island,0
352,Dallas Mavericks,South Carolina,0
353,Dallas Mavericks,South Dakota,0
354,Dallas Mavericks,Tennessee,0
355,Dallas Mavericks,Texas,57
356,Dallas Mavericks,Utah,0
357,Dallas Mavericks,Vermont,0
358,Dallas Mavericks,Virginia,1
359,Dallas Mavericks,Washington,2
360,Dallas Mavericks,Washington D.C.,0
361,Dallas Mavericks,West Virginia,1
362,Dallas Mavericks,Wisconsin,1
363,Dallas Mavericks,Wyoming,0
364,Denver Nuggets,Alabama,1
365,Denver Nuggets,Alaska,0
366,Denver Nuggets,Arizona,0
367,Denver Nuggets,Arkansas,1
368,Denver Nuggets,California,3
369,Denver Nuggets,Colorado,35
370,Denver Nuggets,Connecticut,0
371,Denver Nuggets,Delaware,0
372,Denver Nuggets,Florida,0
373,Denver Nuggets,Georgia,0
374,Denver Nuggets,Hawaii,0
375,Denver Nuggets,Idaho,0
376,Denver Nuggets,Illinois,0
377,Denver Nuggets,Indiana,1
378,Denver Nuggets,Iowa,0
379,Denver Nuggets,Kansas,0
380,Denver Nuggets,Kentucky,0
381,Denver Nuggets,Louisiana,0
382,Denver Nuggets,Maine,0
383,Denver Nuggets,Maryland,0
384,Denver Nuggets,Massachusetts,1
385,Denver Nuggets,Michigan,0
386,Denver Nuggets,Minnesota,0
387,Denver Nuggets,Mississippi,0
388,Denver Nuggets,Missouri,0
389,Denver Nuggets,Montana,1
390,Denver Nuggets,Nebraska,1
391,Denver Nuggets,Nevada,0
392,Denver Nuggets,New Hampshire,0
393,Denver Nuggets,New Jersey,0
394,Denver Nuggets,New Mexico,0
395,Denver Nuggets,New York,0
396,Denver Nuggets,North Carolina,0
397,Denver Nuggets,North Dakota,0
398,Denver Nuggets,Ohio,0
399,Denver Nuggets,Oklahoma,0
400,Denver Nuggets,Oregon,0
401,Denver Nuggets,Other,25
402,Denver Nuggets,Pennsylvania,0
403,Denver Nuggets,Rhode Island,0
404,Denver Nuggets,South Carolina,0
405,Denver Nuggets,South Dakota,0
406,Denver Nuggets,Tennessee,0
407,Denver Nuggets,Texas,1
408,Denver Nuggets,Utah,0
409,Denver Nuggets,Vermont,0
410,Denver Nuggets,Virginia,1
411,Denver Nuggets,Washington,2
412,Denver Nuggets,Washington D.C.,0
413,Denver Nuggets,West Virginia,0
414,Denver Nuggets,Wisconsin,0
415,Denver Nuggets,Wyoming,0
416,Detroit Pistons,Alabama,0
417,Detroit Pistons,Alaska,0
418,Detroit Pistons,Arizona,0
419,Detroit Pistons,Arkansas,1
420,Detroit Pistons,California,3
421,Detroit Pistons,Colorado,2
422,Detroit Pistons,Connecticut,0
423,Detroit Pistons,Delaware,0
424,Detroit Pistons,Florida,2
425,Detroit Pistons,Georgia,0
426,Detroit Pistons,Hawaii,0
427,Detroit Pistons,Idaho,0
428,Detroit Pistons,Illinois,6
429,Detroit Pistons,Indiana,1
430,Detroit Pistons,Iowa,0
431,Detroit Pistons,Kansas,0
432,Detroit Pistons,Kentucky,0
433,Detroit Pistons,Louisiana,0
434,Detroit Pistons,Maine,0
435,Detroit Pistons,Maryland,0
436,Detroit Pistons,Massachusetts,0
437,Detroit Pistons,Michigan,58
438,Detroit Pistons,Minnesota,0
439,Detroit Pistons,Mississippi,0
440,Detroit Pistons,Missouri,0
441,Detroit Pistons,Montana,0
442,Detroit Pistons,Nebraska,0
443,Detroit Pistons,Nevada,0
444,Detroit Pistons,New Hampshire,0
445,Detroit Pistons,New Jersey,0
446,Detroit Pistons,New Mexico,0
447,Detroit Pistons,New York,1
448,Detroit Pistons,North Carolina,1
449,Detroit Pistons,North Dakota,1
450,Detroit Pistons,Ohio,3
451,Detroit Pistons,Oklahoma,1
452,Detroit Pistons,Oregon,0
453,Detroit Pistons,Other,15
454,Detroit Pistons,Pennsylvania,1
455,Detroit Pistons,Rhode Island,0
456,Detroit Pistons,South Carolina,1
457,Detroit Pistons,South Dakota,0
458,Detroit Pistons,Tennessee,0
459,Detroit Pistons,Texas,1
460,Detroit Pistons,Utah,0
461,Detroit Pistons,Vermont,0
462,Detroit Pistons,Virginia,1
463,Detroit Pistons,Washington,1
464,Detroit Pistons,Washington D.C.,0
465,Detroit Pistons,West Virginia,0
466,Detroit Pistons,Wisconsin,2
467,Detroit Pistons,Wyoming,0
468,Golden State Warriors,Alabama,0
469,Golden State Warriors,Alaska,1
470,Golden State Warriors,Arizona,2
471,Golden State Warriors,Arkansas,1
472,Golden State Warriors,California,385
473,Golden State Warriors,Colorado,1
474,Golden State Warriors,Connecticut,0
475,Golden State Warriors,Delaware,0
476,Golden State Warriors,Florida,7
477,Golden State Warriors,Georgia,2
478,Golden State Warriors,Hawaii,2
479,Golden State Warriors,Idaho,0
480,Golden State Warriors,Illinois,5
481,Golden State Warriors,Indiana,2
482,Golden State Warriors,Iowa,3
483,Golden State Warriors,Kansas,2
484,Golden State Warriors,Kentucky,2
485,Golden State Warriors,Louisiana,1
486,Golden State Warriors,Maine,0
487,Golden State Warriors,Maryland,3
488,Golden State Warriors,Massachusetts,2
489,Golden State Warriors,Michigan,3
490,Golden State Warriors,Minnesota,1
491,Golden State Warriors,Mississippi,0
492,Golden State Warriors,Missouri,2
493,Golden State Warriors,Montana,0
494,Golden State Warriors,Nebraska,3
495,Golden State Warriors,Nevada,7
496,Golden State Warriors,New Hampshire,0
497,Golden State Warriors,New Jersey,1
498,Golden State Warriors,New Mexico,4
499,Golden State Warriors,New York,13
500,Golden State Warriors,North Carolina,7
501,Golden State Warriors,North Dakota,0
502,Golden State Warriors,Ohio,6
503,Golden State Warriors,Oklahoma,0
504,Golden State Warriors,Oregon,5
505,Golden State Warriors,Other,169
506,Golden State Warriors,Pennsylvania,6
507,Golden State Warriors,Rhode Island,0
508,Golden State Warriors,South Carolina,3
509,Golden State Warriors,South Dakota,2
510,Golden State Warriors,Tennessee,2
511,Golden State Warriors,Texas,8
512,Golden State Warriors,Utah,2
513,Golden State Warriors,Vermont,1
514,Golden State Warriors,Virginia,3
515,Golden State Warriors,Washington,10
516,Golden State Warriors,Washington D.C.,0
517,Golden State Warriors,West Virginia,0
518,Golden State Warriors,Wisconsin,4
519,Golden State Warriors,Wyoming,0
520,Houston Rockets,Alabama,2
521,Houston Rockets,Alaska,0
522,Houston Rockets,Arizona,1
523,Houston Rockets,Arkansas,0
524,Houston Rockets,California,16
525,Houston Rockets,Colorado,1
526,Houston Rockets,Connecticut,2
527,Houston Rockets,Delaware,0
528,Houston Rockets,Florida,4
529,Houston Rockets,Georgia,2
530,Houston Rockets,Hawaii,1
531,Houston Rockets,Idaho,0
532,Houston Rockets,Illinois,1
533,Houston Rockets,Indiana,1
534,Houston Rockets,Iowa,0
535,Houston Rockets,Kansas,1
536,Houston Rockets,Kentucky,0
537,Houston Rockets,Louisiana,1
538,Houston Rockets,Maine,0
539,Houston Rockets,Maryland,1
540,Houston Rockets,Massachusetts,1
541,Houston Rockets,Michigan,1
542,Houston Rockets,Minnesota,0
543,Houston Rockets,Mississippi,1
544,Houston Rockets,Missouri,2
545,Houston Rockets,Montana,0
546,Houston Rockets,Nebraska,0
547,Houston Rockets,Nevada,0
548,Houston Rockets,New Hampshire,0
549,Houston Rockets,New Jersey,1
550,Houston Rockets,New Mexico,1
551,Houston Rockets,New York,5
552,Houston Rockets,North Carolina,2
553,Houston Rockets,North Dakota,0
554,Houston Rockets,Ohio,0
555,Houston Rockets,Oklahoma,1
556,Houston Rockets,Oregon,2
557,Houston Rockets,Other,82
558,Houston Rockets,Pennsylvania,2
559,Houston Rockets,Rhode Island,1
560,Houston Rockets,South Carolina,0
561,Houston Rockets,South Dakota,1
562,Houston Rockets,Tennessee,1
563,Houston Rockets,Texas,186
564,Houston Rockets,Utah,0
565,Houston Rockets,Vermont,0
566,Houston Rockets,Virginia,7
567,Houston Rockets,Washington,6
568,Houston Rockets,Washington D.C.,0
569,Houston Rockets,West Virginia,0
570,Houston Rockets,Wisconsin,1
571,Houston Rockets,Wyoming,0
572,Indiana Pacers,Alabama,0
573,Indiana Pacers,Alaska,0
574,Indiana Pacers,Arizona,1
575,Indiana Pacers,Arkansas,0
576,Indiana Pacers,California,4
577,Indiana Pacers,Colorado,1
578,Indiana Pacers,Connecticut,2
579,Indiana Pacers,Delaware,0
580,Indiana Pacers,Florida,3
581,Indiana Pacers,Georgia,2
582,Indiana Pacers,Hawaii,0
583,Indiana Pacers,Idaho,0
584,Indiana Pacers,Illinois,2
585,Indiana Pacers,Indiana,55
586,Indiana Pacers,Iowa,0
587,Indiana Pacers,Kansas,0
588,Indiana Pacers,Kentucky,3
589,Indiana Pacers,Louisiana,0
590,Indiana Pacers,Maine,0
591,Indiana Pacers,Maryland,1
592,Indiana Pacers,Massachusetts,1
593,Indiana Pacers,Michigan,0
594,Indiana Pacers,Minnesota,1
595,Indiana Pacers,Mississippi,1
596,Indiana Pacers,Missouri,1
597,Indiana Pacers,Montana,1
598,Indiana Pacers,Nebraska,2
599,Indiana Pacers,Nevada,0
600,Indiana Pacers,New Hampshire,0
601,Indiana Pacers,New Jersey,1
602,Indiana Pacers,New Mexico,0
603,Indiana Pacers,New York,1
604,Indiana Pacers,North Carolina,0
605,Indiana Pacers,North Dakota,0
606,Indiana Pacers,Ohio,0
607,Indiana Pacers,Oklahoma,0
608,Indiana Pacers,Oregon,1
609,Indiana Pacers,Other,21
610,Indiana Pacers,Pennsylvania,1
611,Indiana Pacers,Rhode Island,0
612,Indiana Pacers,South Carolina,0
613,Indiana Pacers,South Dakota,1
614,Indiana Pacers,Tennessee,1
615,Indiana Pacers,Texas,2
616,Indiana Pacers,Utah,0
617,Indiana Pacers,Vermont,0
618,Indiana Pacers,Virginia,0
619,Indiana Pacers,Washington,1
620,Indiana Pacers,Washington D.C.,0
621,Indiana Pacers,West Virginia,0
622,Indiana Pacers,Wisconsin,0
623,Indiana Pacers,Wyoming,0
624,LA Clippers,Alabama,0
625,LA Clippers,Alaska,0
626,LA Clippers,Arizona,2
627,LA Clippers,Arkansas,0
628,LA Clippers,California,50
629,LA Clippers,Colorado,0
630,LA Clippers,Connecticut,0
631,LA Clippers,Delaware,0
632,LA Clippers,Florida,3
633,LA Clippers,Georgia,1
634,LA Clippers,Hawaii,0
635,LA Clippers,Idaho,0
636,LA Clippers,Illinois,1
637,LA Clippers,Indiana,0
638,LA Clippers,Iowa,0
639,LA Clippers,Kansas,0
640,LA Clippers,Kentucky,2
641,LA Clippers,Louisiana,0
642,LA Clippers,Maine,0
643,LA Clippers,Maryland,1
644,LA Clippers,Massachusetts,0
645,LA Clippers,Michigan,1
646,LA Clippers,Minnesota,0
647,LA Clippers,Mississippi,0
648,LA Clippers,Missouri,1
649,LA Clippers,Montana,0
650,LA Clippers,Nebraska,1
651,LA Clippers,Nevada,0
652,LA Clippers,New Hampshire,0
653,LA Clippers,New Jersey,1
654,LA Clippers,New Mexico,0
655,LA Clippers,New York,2
656,LA Clippers,North Carolina,1
657,LA Clippers,North Dakota,0
658,LA Clippers,Ohio,0
659,LA Clippers,Oklahoma,0
660,LA Clippers,Oregon,1
661,LA Clippers,Other,45
662,LA Clippers,Pennsylvania,0
663,LA Clippers,Rhode Island,0
664,LA Clippers,South Carolina,0
665,LA Clippers,South Dakota,0
666,LA Clippers,Tennessee,0
667,LA Clippers,Texas,3
668,LA Clippers,Utah,0
669,LA Clippers,Vermont,0
670,LA Clippers,Virginia,1
671,LA Clippers,Washington,0
672,LA Clippers,Washington D.C.,0
673,LA Clippers,West Virginia,0
674,LA Clippers,Wisconsin,1
675,LA Clippers,Wyoming,0
676,Los Angeles Lakers,Alabama,1
677,Los Angeles Lakers,Alaska,1
678,Los Angeles Lakers,Arizona,1
679,Los Angeles Lakers,Arkansas,0
680,Los Angeles Lakers,California,225
681,Los Angeles Lakers,Colorado,0
682,Los Angeles Lakers,Connecticut,4
683,Los Angeles Lakers,Delaware,0
684,Los Angeles Lakers,Florida,7
685,Los Angeles Lakers,Georgia,0
686,Los Angeles Lakers,Hawaii,4
687,Los Angeles Lakers,Idaho,1
688,Los Angeles Lakers,Illinois,7
689,Los Angeles Lakers,Indiana,5
690,Los Angeles Lakers,Iowa,1
691,Los Angeles Lakers,Kansas,3
692,Los Angeles Lakers,Kentucky,1
693,Los Angeles Lakers,Louisiana,1
